text,video_url,created_at,fecha,likes,respuestas,_origen,fuente,text_clean,emojis
Q tiene q ver el piercing con donar sangre ?,https://www.tiktok.com/@_.naiaraa._21/video/7304669289527676192,2023-12-09 20:45:17+00:00,2023-12-09,377,4,adolescente_donar_tiktok.csv,tiktok,Q tiene q ver el piercing con donar sangre ?,
"yo tmbn estoy en la d móstoles, dejan con tattos?",https://www.tiktok.com/@_.naiaraa._21/video/7304669289527676192,2023-11-23 21:33:03+00:00,2023-11-23,105,4,adolescente_donar_tiktok.csv,tiktok,"yo tmbn estoy en la d móstoles, dejan con tattos?",
me quedé sola a traición,https://www.tiktok.com/@_.naiaraa._21/video/7304669289527676192,2023-11-23 23:35:02+00:00,2023-11-23,257,1,adolescente_donar_tiktok.csv,tiktok,me quedé sola a traición,
yo ahora que estoy dejando los vicios el tabaco y el alcohol cuando lo consiga donare sangre es que le puede salvar la vida a alguien,https://www.tiktok.com/@_.naiaraa._21/video/7304669289527676192,2024-01-10 08:22:25+00:00,2024-01-10,1,0,adolescente_donar_tiktok.csv,tiktok,yo ahora que estoy dejando los vicios el tabaco y el alcohol cuando lo consiga donare sangre es que le puede salvar la vida a alguien,
me acuerdo que está chica hacia videos con plex,https://www.tiktok.com/@_.naiaraa._21/video/7304669289527676192,2024-01-15 01:18:53+00:00,2024-01-15,1,0,adolescente_donar_tiktok.csv,tiktok,me acuerdo que está chica hacia videos con plex,
"me dan mal rollo las agujas, pero si dan la Cocacola por adelantado voy y digo eso del piercing",https://www.tiktok.com/@_.naiaraa._21/video/7304669289527676192,2024-01-23 15:30:39+00:00,2024-01-23,1,0,adolescente_donar_tiktok.csv,tiktok,"me dan mal rollo las agujas, pero si dan la Cocacola por adelantado voy y digo eso del piercing",
"Donar está bien,pero mejor ir al hospital,sabías que ellos cobran 70 € por bolsa al hospital,tú te lo llevaste cocacola por 70€",https://www.tiktok.com/@_.naiaraa._21/video/7304669289527676192,2025-05-14 07:22:22+00:00,2025-05-14,2,1,adolescente_donar_tiktok.csv,tiktok,"Donar está bien,pero mejor ir al hospital,sabías que ellos cobran 70 € por bolsa al hospital,tú te lo llevaste cocacola por 70€",
regalar vida.muy bien echo 🥰🥰🥰,https://www.tiktok.com/@_.naiaraa._21/video/7304669289527676192,2024-01-10 17:51:33+00:00,2024-01-10,1,0,adolescente_donar_tiktok.csv,tiktok,regalar vida.muy bien echo,🥰🥰🥰
"Como dato, cruz roja es un vendedor de sangre a hospitales, es decir, que tu sangre es vendida, en cambio los hospitales las usan para ellos.",https://www.tiktok.com/@_.naiaraa._21/video/7304669289527676192,2024-01-09 19:40:05+00:00,2024-01-09,2,0,adolescente_donar_tiktok.csv,tiktok,"Como dato, cruz roja es un vendedor de sangre a hospitales, es decir, que tu sangre es vendida, en cambio los hospitales las usan para ellos.",
"NO DONEIS EN LA CRUZ ROJA, la venden a los hospitales para llevarse un extra",https://www.tiktok.com/@_.naiaraa._21/video/7304669289527676192,2024-01-08 22:28:05+00:00,2024-01-08,2,0,adolescente_donar_tiktok.csv,tiktok,"NO DONEIS EN LA CRUZ ROJA, la venden a los hospitales para llevarse un extra",
Peeerdon🫶🫶,https://www.tiktok.com/@_.naiaraa._21/video/7304669289527676192,2023-11-24 00:01:27+00:00,2023-11-24,36,0,adolescente_donar_tiktok.csv,tiktok,Peeerdon,🫶🫶
🥰🥰🥰,https://www.tiktok.com/@_.naiaraa._21/video/7304669289527676192,2026-01-25 11:16:21+00:00,2026-01-25,0,0,adolescente_donar_tiktok.csv,tiktok,,🥰🥰🥰
No hay bocata ?,https://www.tiktok.com/@_.naiaraa._21/video/7304669289527676192,2023-11-24 16:17:59+00:00,2023-11-24,2,1,adolescente_donar_tiktok.csv,tiktok,No hay bocata ?,
De donde son los pendientes?,https://www.tiktok.com/@_.naiaraa._21/video/7304669289527676192,2023-11-24 15:54:09+00:00,2023-11-24,1,1,adolescente_donar_tiktok.csv,tiktok,De donde son los pendientes?,
Y plex,https://www.tiktok.com/@_.naiaraa._21/video/7304669289527676192,2023-12-01 15:43:59+00:00,2023-12-01,3,0,adolescente_donar_tiktok.csv,tiktok,Y plex,
primeraaa🥰,https://www.tiktok.com/@_.naiaraa._21/video/7304669289527676192,2023-11-23 14:51:10+00:00,2023-11-23,2,0,adolescente_donar_tiktok.csv,tiktok,primeraaa,🥰
segundoooo,https://www.tiktok.com/@_.naiaraa._21/video/7304669289527676192,2023-11-23 14:53:09+00:00,2023-11-23,4,0,adolescente_donar_tiktok.csv,tiktok,segundoooo,
tío la universidad parece las encinas de élite,https://www.tiktok.com/@_.naiaraa._21/video/7304669289527676192,2024-01-13 02:37:56+00:00,2024-01-13,1,0,adolescente_donar_tiktok.csv,tiktok,tío la universidad parece las encinas de élite,
puedes enseñar el piercing,https://www.tiktok.com/@_.naiaraa._21/video/7304669289527676192,2023-12-25 14:34:39+00:00,2023-12-25,2,0,adolescente_donar_tiktok.csv,tiktok,puedes enseñar el piercing,
la intención era buena y hace falta sangre bien hecho chicas,https://www.tiktok.com/@_.naiaraa._21/video/7304669289527676192,2023-11-24 00:09:21+00:00,2023-11-24,3,0,adolescente_donar_tiktok.csv,tiktok,la intención era buena y hace falta sangre bien hecho chicas,
Venden la sangre a 60€,https://www.tiktok.com/@_.naiaraa._21/video/7304669289527676192,2023-12-01 22:13:53+00:00,2023-12-01,0,0,adolescente_donar_tiktok.csv,tiktok,Venden la sangre a 60€,
la cruz roja vende la sangre a los hospitales. Si vais directamente al banco de donantes del hospital es mejor pq no hacen negocio con las donaciones.,https://www.tiktok.com/@_.naiaraa._21/video/7304669289527676192,2024-01-10 08:12:41+00:00,2024-01-10,3,0,adolescente_donar_tiktok.csv,tiktok,la cruz roja vende la sangre a los hospitales. Si vais directamente al banco de donantes del hospital es mejor pq no hacen negocio con las donaciones.,
