fuente,fecha,likes,text
instagram,2024-04-13,932,Los de la generación de cristal no pueden donar sangre porque no tienen 😂
twitter,2025-12-23,897,cada vez que veo una persona anti vacunas pienso  automaticamente que  la razon por la que quieren prohibir las vacunas es porque le tienen miedo a las agujas https://t.co/JfWRpKDYuT
tiktok,2024-04-13,819,"yo me acuerdo que a la enfermera casi le da una taquicardia cuando me quedé dormido donando
no estaba mareado ni nada, es que el sillon era comodísimo y estaba calentito😂
se asustó"
instagram,2024-04-13,575,Cuanta razón tienes! A mi me salvó hace dos días. Gracias a todos los donantes!!!
twitter,2026-03-04,449,"Tú al igual que nuestro ministro consejero Mark Johnson y la comunidad de la Embajada de Estados Unidos en México, únete a la campaña para donar sangre con la @CruzRoja_MX. 
¡Juntos salvemos vidas en 🇲🇽! https://t.co/Gc1t3F56cV"
tiktok,2023-12-09,377,Q tiene q ver el piercing con donar sangre ?
instagram,2024-04-13,331,Jajajajaja. Estaba esperando el momento del desmayo con mucha ansiedad!
tiktok,2023-11-23,257,me quedé sola a traición
tiktok,2024-04-13,217,"me encanta el "" ansiedad ""🤣🤣🤣"
instagram,2024-04-13,201,En los 80 la llevaba yo mismo la sangre en una botella de vodka.
