tweet_id,created_at,text,lang,retweet_count,reply_count,like_count,quote_count,author_id,author_username,author_name,author_location,place_full_name,place_country,place_country_code,place_type,reply_to_tweet_id
1874097166295458003,2024-12-31T14:15:58.000Z,"Salvar vidas está en tus manos. Junto a @HemocentroDO, te invitamos a donar sangre y a ser parte de la solución que nuestro país necesita. 🌟❤️ #DonaSangre #DonaVida https://t.co/kTZBMqbryj",es,15,22,40,0,203664009,SuperateRDO,Supérate,República Dominicana,,,,,
1608924204401057792,2022-12-30T20:33:17.000Z,"@gadarovi Pero yo estoy hablando específicamente del tema aquel que escribí ""Testigos de Jehová vs donación de sangre"" en el tema aquel q Ud dice, entonces ellos deben de tener una placa guinda en el cuello pa cuando tengan un accidente no se toque no se atienda y que sufra hasta que muera",es,0,8,1,0,1364518542,eacp507,Edwin Abdiel,"Los Santos, Panamá",,,,,
1741244551824630219,2023-12-30T23:47:06.000Z,"❤¡Donar sangre es salvar vidas! 

#CDRCuba #Cuba #EstaEsLaRevolución https://t.co/McAQLDKpVS",es,111,7,77,3,1222172279381118976,cdr_cuba,CDR de Cuba,La Habana,,,,,
2006497915934556577,2025-12-31T22:49:16.000Z,"Compañeras de la  #ZonaViñaDelMar y alrededores participaron de la campaña de recolección de dadores de Sangre junto a los Bomberos de Viña del Mar y el Centro de Sangre Valparaíso. 
#JuntosSalvamosVidas #DarSangreEsDarVida 
#DonaSangreDonaVida
#DonarSangre
#SomosDonantes https://t.co/8qLmFbMSKo",es,3,7,18,0,193493377,CHICASDECALIPSO,Fans Club Chicas de Calipso 🇨🇱,chile  /9951118086 22/7723034,,,,,
1873848482337087988,2024-12-30T21:47:47.000Z,"Si es necesario donar sangre pienso que será o Marta o Jesús.
Quiero pensar que en algún momento se va a descubrir que Andrés no es un de La Reina,es adoptado por eso es así😏🤪
#mafin https://t.co/mQi6qNJaqM",es,1,6,11,0,1823032476190625792,CrisMafinBoom,Cris🧁💥,,,,,,
1608928985169428480,2022-12-30T20:52:17.000Z,Ahorita una doña gritó al cajero NO NO QUIERO DONAR,es,0,5,34,0,1007659532,soysnoopylover,Natalia de Jesús,,,,,,
1873866845880783188,2024-12-30T23:00:45.000Z,Hola amigos! Alguien sabe si se puede ir a donar sangre a Centro Médico sin cita? 🥹,es,0,5,15,1,1161491073111224320,Helen_Bby_,Helen,,,,,,
1873782977223942319,2024-12-30T17:27:29.000Z,"Dona Sangre y Regala Vida 🤲🏼🩸

¿Sabías que en México la comercialización de sangre es ilegal?

Recuerda, la donación de sangre debe ser un acto voluntario y altruista; convierte tu generosidad en un verdadero regalo de vida para quienes más lo necesitan.

¡Súmate a salvar vidas! https://t.co/yO8jUSNmeF",es,29,4,33,0,132225222,SSalud_mx,SALUD México,México,,,,,
1608964387246854145,2022-12-30T23:12:57.000Z,"Con casi 90 mil asistentes solo el primer día, es una buena oportunidad para la Cruz Roja para poner sus estaciones de donación de sangre fuera de la Comiket.

Quizás tendrían más éxito con una vtuber o retomando la campaña de Uzaki 😆
#C101 https://t.co/NnK4x5ssHt https://t.co/5Yd6YCbzGr",es,4,4,31,0,542796178,DasTier92,DasTier,,,,,,
1741146416896991613,2023-12-30T17:17:09.000Z,"@CapitanBitcoin Lo de donar sangre está perfecto, lo de que te obliguen está muy mal, la cuestión del créeito social está de terror.",es,1,4,9,0,284058158,marcus_lynch,Marcus,México,,,,,
1741456392303636698,2023-12-31T13:48:53.000Z,"@ana_grimbaum Es fácil tirar abajo ese relato.
""No puedo donar de mi sueldo, tengo un estilo de vida que matener"" Luis Alberto Alejandro Aparicio Lacalle Pou. 
José Mujica dona 400.000 dólares de su sueldo para el Plan Juntos y unos 150.000 dólares para su fuerza política. Los del Taba +++",es,0,4,3,0,1443961428231217164,Graldelpueblo,General del Pueblo,Canelones,,,,,
2005987863197016469,2025-12-30T13:02:30.000Z,La última donación de sangre del año ahahahaha 😁 https://t.co/EHjftPlNcV,es,0,3,25,0,3713709675,Debihhhh,Debi Mode 🤘💙❤️,"Viña del Mar, Chile",,,,,
2029241288072081458,2026-03-04T17:03:19.000Z,"Soy O- y simplemente no puedo donar sangre a nadie porque mi peso es de 40 kilos.

Conseguir donantes de sangre en un país donde la desnutrición está normalizada, eso es un reto. https://t.co/T33RbPmH2Q",es,24,3,20,0,1884721776418316290,ArepitaLigera,Ni tan Rosa,,,,,,
1609243722465648641,2022-12-31T17:42:56.000Z,@yureimaardila Y el año donde casi se mata y nos mata a nosotros por donar sangre,es,0,3,2,0,475270130,mpmv0055,M,Colombia,,,,,
